Name,Replicate,D0.red,D0.white,Df.red,Df.white
1,1,60,43,96,39
1,2,101,70,125,72
1,3,60,59,171,38
1,4,34,45,177,38
1,5,76,75,168,38
1,6,69,79,132,68
1,7,100,68,132,72
1,8,39,40,150,42
1,9,21,33,152,45
1,10,63,64,144,72
2,1,39,86,115,103
2,2,25,65,113,135
2,3,62,95,102,106
2,4,80,88,108,114
2,5,98,99,113,112
2,6,100,95,104,82
2,7,23,51,101,122
2,8,45,83,115,103
2,9,26,71,91,140
2,10,94,93,115,84
3,1,71,98,85,101
3,2,70,99,124,82
3,3,32,98,63,122
3,4,67,82,85,122
3,5,34,94,109,212
3,6,47,60,93,115
3,7,29,63,75,134
3,8,41,81,88,89
3,9,93,97,130,108
3,10,78,97,96,93
