Name,Replicate,D0.red,D0.white,Df.red,Df.white
1,1,100,74,148,68
1,2,77,88,129,62
1,3,98,88,127,68
1,4,110,87,149,63
1,5,113,82,129,94
1,6,109,97,113,63
1,7,104,110,92,96
1,8,104,110,123,111
1,9,121,112,117,50
1,10,109,94,116,50
2,1,95,88,120,37
2,2,130,110,84,76
2,3,91,81,157,37
2,4,109,93,150,50
2,5,98,102,129,62
2,6,96,106,140,37
2,7,119,83,125,36
2,8,103,104,94,73
2,9,84,98,107,103
2,10,86,109,127,43
3,1,101,88,129,90
3,2,101,92,171,56
3,3,110,75,140,59
3,4,110,72,125,79
3,5,77,84,117,59
3,6,116,77,117,94
3,7,95,78,139,70
3,8,103,81,116,105
3,9,102,70,114,77
3,10,94,71,102,86
