Name,Replicate,D0.red,D0.white,Df.red,Df.white
1,1,113,69,139,75
1,2,102,64,172,75
1,3,111,64,159,60
1,4,123,60,137,97
1,5,128,59,149,56
1,6,127,97,149,56
1,7,94,83,152,68
1,8,119,67,169,74
1,9,103,78,175,73
1,10,114,80,153,95
2,1,111,65,166,103
2,2,113,72,152,96
2,3,118,71,142,79
2,4,105,84,136,95
2,5,109,93,140,93
2,6,116,72,133,87
2,7,112,73,166,84
2,8,108,77,138,96
2,9,128,73,144,86
2,10,115,87,119,80
3,1,104,92,138,107
3,2,110,87,130,91
3,3,116,104,120,98
3,4,108,94,128,102
3,5,110,89,121,98
3,6,109,87,113,97
3,7,119,87,118,94
3,8,121,94,136,88
3,9,115,80,124,92
3,10,78,60,131,108
