Name,Replicate,D0.red,D0.white,Df.red,Df.white
1,1,94,110,51,53
1,2,122,121,90,93
1,3,102,91,86,76
1,4,73,106,90,72
1,5,102,99,96,80
1,6,59,76,86,78
1,7,91,133,99,69
1,8,88,91,86,74
1,9,82,119,103,93
1,10,105,101,98,88
2,1,89,98,80,65
2,2,70,102,82,79
2,3,83,84,85,99
2,4,119,86,87,77
2,5,96,83,97,69
2,6,93,99,86,80
2,7,111,95,75,95
2,8,69,89,81,104
2,9,104,111,101,101
2,10,100,123,98,86
3,1,96,80,95,73
3,2,103,90,104,85
3,3,90,99,90,93
3,4,118,102,78,98
3,5,72,85,83,98
3,6,78,83,78,73
3,7,105,101,95,79
3,8,104,101,67,76
3,9,74,96,85,99
3,10,118,122,111,92
