Name,Replicate,D0.red,D0.white,Df.red,Df.white
1,1,71,98,75,126
1,2,89,109,85,145
1,3,112,94,78,133
1,4,91,100,95,121
1,5,94,119,74,122
1,6,146,87,73,130
1,7,89,113,79,112
1,8,95,107,83,111
1,9,106,107,66,143
1,10,86,106,60,142
2,1,87,92,66,113
2,2,78,113,77,147
2,3,93,101,64,122
2,4,87,106,67,130
2,5,67,102,93,138
2,6,185,90,84,135
2,7,82,91,84,137
2,8,110,113,79,141
2,9,79,87,70,130
2,10,74,68,78,132
3,1,77,99,53,128
3,2,77,104,80,112
3,3,81,106,64,144
3,4,77,117,66,147
3,5,76,111,51,117
3,6,92,105,71,139
3,7,101,111,78,138
3,8,97,98,62,119
3,9,81,121,53,126
3,10,89,104,89,106
