Name,Replicate,D0.red,D0.white,Df.red,Df.white
1,1,71,82,90,97
1,2,74,88,109,86
1,3,55,73,123,98
1,4,72,98,116,88
1,5,60,81,88,71
1,6,96,71,94,74
1,7,102,69,73,81
1,8,41,61,86,110
1,9,76,97,103,83
1,10,88,97,92,91
2,1,61,85,104,92
2,2,71,90,120,54
2,3,77,107,120,52
2,4,41,69,87,111
2,5,65,100,117,53
2,6,54,96,96,46
2,7,61,98,109,51
2,8,117,110,96,87
2,9,93,106,93,95
2,10,NA,NA,112,89
3,1,91,138,94,87
3,2,59,106,109,46
3,3,75,108,99,104
3,4,88,118,106,81
3,5,95,107,120,112
3,6,79,135,115,51
3,7,93,100,114,89
3,8,108,121,90,82
3,9,65,119,119,58
3,10,83,127,129,43
