Name,Replicate,D0.red,D0.white,Df.red,Df.white
1,1,86,100,61,50
1,2,89,85,109,53
1,3,91,91,122,90
1,4,70,77,98,62
1,5,78,89,97,68
1,6,79,68,108,80
1,7,52,66,117,83
1,8,76,77,91,42
1,9,90,64,90,58
1,10,70,79,97,71
2,1,47,68,33,40
2,2,63,75,58,64
2,3,96,82,74,85
2,4,69,79,66,65
2,5,96,89,74,75
2,6,95,92,70,77
2,7,75,87,77,76
2,8,89,91,67,78
2,9,68,81,65,70
2,10,78,98,59,69
3,1,97,59,64,45
3,2,81,54,90,62
3,3,85,48,72,37
3,4,76,57,89,62
3,5,83,62,15,19
3,6,64,50,20,14
3,7,79,69,76,47
3,8,66,67,71,41
3,9,68,83,79,49
3,10,81,79,60,39
