Name,Replicate,D0.red,D0.white,Df.red,Df.white
1,1,64,74,114,88
1,2,62,71,107,67
1,3,72,57,107,103
1,4,65,63,93,79
1,5,73,52,105,83
1,6,53,72,114,110
1,7,60,68,101,71
1,8,49,59,95,59
1,9,69,58,126,103
1,10,44,66,90,75
2,1,39,95,60,136
2,2,55,92,67,136
2,3,61,111,59,153
2,4,62,94,51,171
2,5,57,77,63,158
2,6,79,106,64,140
2,7,64,107,52,119
2,8,46,111,60,157
2,9,51,97,75,136
2,10,90,104,76,145
3,1,69,126,87,111
3,2,48,151,62,137
3,3,80,129,95,108
3,4,56,106,51,71
3,5,43,105,37,69
3,6,61,105,72,136
3,7,53,107,63,110
3,8,54,98,63,114
3,9,51,107,85,104
3,10,57,132,66,133
