Name,Replicate,D0.red,D0.white,Df.red,Df.white
1,1,78,105,24,26
1,2,86,90,66,68
1,3,106,122,26,26
1,4,109,100,33,25
1,5,103,94,39,36
1,6,87,101,11,11
1,7,101,105,35,48
1,8,106,84,43,54
1,9,98,99,43,38
1,10,109,102,39,39
2,1,118,107,74,43
2,2,108,95,79,60
2,3,88,89,33,41
2,4,108,107,33,26
2,5,96,90,28,30
2,6,99,91,45,34
2,7,98,80,108,68
2,8,106,100,75,65
2,9,95,88,94,89
2,10,83,87,80,47
3,1,89,73,95,60
3,2,89,62,87,45
3,3,88,75,26,12
3,4,90,87,27,16
3,5,100,77,42,23
3,6,104,81,67,57
3,7,98,87,126,60
3,8,115,75,117,60
3,9,123,83,71,47
3,10,100,68,124,69
