Name,Replicate,D0.red,D0.white,Df.red,Df.white
1,1,95,101,58,75
1,2,113,123,98,92
1,3,119,107,109,84
1,4,117,108,101,96
1,5,113,84,73,76
1,6,101,97,94,73
1,7,92,107,75,77
1,8,120,120,92,73
1,9,122,121,82,79
1,10,100,111,72,78
2,1,122,118,73,80
2,2,120,106,34,37
2,3,115,117,54,36
2,4,128,112,36,36
2,5,93,110,70,86
2,6,96,110,70,81
2,7,78,85,87,92
2,8,111,117,83,95
2,9,79,94,74,69
2,10,77,103,53,41
3,1,84,103,81,93
3,2,90,95,74,75
3,3,112,110,79,83
3,4,83,82,79,90
3,5,117,117,103,109
3,6,104,107,82,87
3,7,111,114,18,13
3,8,99,112,41,60
3,9,91,103,85,80
3,10,74,94,92,82
