Name,Replicate,D0.red,D0.white,Df.red,Df.white
1,1,116,112,104,90
1,2,106,99,107,110
1,3,92,105,112,111
1,4,120,121,125,104
1,5,127,128,106,117
1,6,137,120,106,139
1,7,126,146,131,132
1,8,88,111,99,127
1,9,109,111,122,118
1,10,105,124,104,122
2,1,120,107,107,111
2,2,123,111,109,100
2,3,122,111,107,93
2,4,126,141,105,88
2,5,136,122,123,123
2,6,110,107,89,126
2,7,130,115,92,100
2,8,134,124,129,137
2,9,104,121,125,128
2,10,113,122,100,118
3,1,133,101,140,98
3,2,120,100,120,89
3,3,131,116,108,90
3,4,99,87,118,75
3,5,108,108,137,85
3,6,102,77,75,55
3,7,111,101,124,92
3,8,115,107,114,88
3,9,99,107,113,75
3,10,120,101,66,44
